Country.of.Origin,Number.of.Bags,Bag.Weight,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,altitude_mean_meters
Ethiopia,300,60,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,2075
Ethiopia,300,60,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,2075
Guatemala,5,1,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,1700
Ethiopia,320,60,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,2000
Ethiopia,300,60,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,2075
Brazil,100,30,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,NA
Peru,100,69,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,NA
Ethiopia,300,60,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,1635
Ethiopia,300,60,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,1635
Ethiopia,50,60,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,1822.5
Ethiopia,300,60,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,1905
United States,10,1,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0,1872
United States,10,1,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,1943
United States (Hawaii),1,1,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0,609.6
Ethiopia,300,60,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05,1635
United States,10,1,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0,2080
Indonesia,1,2,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03,1500
Ethiopia,150,6,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05,NA
China,3,60,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,1450
Ethiopia,250,60,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,1850
United States,10,1,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0,2019
Costa Rica,250,3,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,1300
Mexico,14,1,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,1320
United States,10,1,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,2112
Ethiopia,100,60,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11,NA
Brazil,3,60,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,1250
Ethiopia,150,6,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05,NA
Uganda,100,60,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12,1950
Honduras,275,69,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1,1400
Taiwan,20,50,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0,1200
Nicaragua,275,6,7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08,NA
"Tanzania, United Republic Of",100,60,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11,NA
Brazil,29,60,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,1300
Costa Rica,250,2,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0,1300
Ethiopia,320,60,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1,1775
Kenya,320,1,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12,1800
United States (Hawaii),10,100,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0,NA
United States (Hawaii),25,100,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,0,NA
Ethiopia,300,6,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,0.1,NA
United States,10,1,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0,1941
Thailand,53,1,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1,1300
Brazil,300,60,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,12
Brazil,300,60,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,12
Taiwan,10,15,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12,1000
